customer_id,customer_name,city,customer_type,created_at
C0001,Jalsa Datta,Jabalpur,Premium,2025-11-26
C0002,Bahadurjit Bansal,Aurangabad,Premium,2025-04-28
C0003,Frederick Peri,Jhansi,Premium,2026-05-20
C0004,Upkaar Sagar,Bangalore,Regular,2026-06-05
C0005,Mohammed Majumdar,South Dumdum,Regular,2025-10-09
C0006,Udarsh Pillai,Bhagalpur,Premium,2026-03-17
C0007,Ekta Bains,Nagercoil,Regular,2025-09-30
C0008,Ekaja Shroff,Anantapur,Premium,2026-08-16
C0010,Vidhi Sarna,Jalandhar,Regular,2025-04-07
C0011,Kamya Devan,Patiala,Premium,2025-09-15
C0012,Siddharth Sehgal,Ranchi,Premium,2026-07-12
C0013,Akshay Parikh,Indore,Regular,2025-08-28
C0014,Anika Deshmukh,Vijayawada,Premium,2025-07-01
C0015,Urvashi Dasgupta,Panihati,Premium,2024-09-05
C0016,Ubika Sood,Indore,Regular,2025-07-08
C0017,Harsh Walia,Farrukhabad,Regular,2024-10-21
C0018,Sarthak Bera,Mehsana,Regular,2025-01-21
C0019,Mekhala Ratta,Secunderabad,Premium,2026-07-19
C0020,Hema Ramanathan,Nagaon,Regular,2025-04-26
C0021,Daksh Hans,Sasaram,Regular,2025-02-24
C0022,Zaid Sankaran,Hapur,Regular,2025-10-11
C0023,Abeer Chadha,Orai,Premium,2026-03-12
C0024,Qarin Oak,Coimbatore,Regular,2025-06-09
C0025,Samuel Divan,Bihar Sharif,Regular,2026-05-18
C0026,Damyanti Deep,Danapur,Premium,2026-05-04
C0027,Harita Grewal,Berhampore,Regular,2025-12-11
C0028,Lakshmi Lata,Vijayawada,Premium,2025-03-24
C0029,Mohammed Balasubramanian,Khora ,Regular,2025-06-03
C0030,Gavin Wali,Malda,Regular,2024-12-06
C0031,Aarnav Keer,Kumbakonam,Premium,2026-06-11
C0032,Dipta Dugar,Solapur,Premium,2025-12-04
C0033,Harish Balan,Gulbarga,Regular,2025-10-07
C0034,Harita Kakar,Nagaon,Regular,2026-07-30
C0035,Madhav Issac,Firozabad,Premium,2026-05-03
C0036,Gauri Rege,Bardhaman,Regular,2024-10-19
C0037,Widisha Peri,Etawah,Premium,2024-10-21
C0038,Libni Saha,Vijayawada,Regular,2024-10-31
C0039,Bhavya Dhawan,Varanasi,Premium,2026-06-25
C0040,Balendra Majumdar,Bharatpur,Premium,2025-12-05
C0041,Orinder Singh,Allahabad,Regular,2024-11-16
C0042,Ishaan Sampath,Nagaon,Premium,2024-10-12
C0043,Elijah Viswanathan,Dibrugarh,Regular,2024-12-26
C0044,Pavani Handa,Fatehpur,Premium,2025-05-22
C0045,Nikita Loke,Satna,Regular,2025-06-14
C0046,Charles Borah,Kanpur,Regular,2025-08-18
C0047,Meera Upadhyay,Silchar,Premium,2026-07-03
C0048,Nidhi Dalal,Unknown,Premium,2026-02-02
C0049,Faraj Chakrabarti,Panipat,Premium,2025-09-12
C0050,Vasana Kashyap,Singrauli,Premium,2026-02-16
C0051,Frederick Issac,Siliguri,Premium,2025-07-29
C0052,Gautam Balay,Arrah,Premium,2026-07-14
C0053,Varsha Bakshi,Bahraich,Premium,2025-09-23
C0054,Xalak Gala,Alappuzha,Regular,2025-10-11
C0055,Rishi Gokhale,Nashik,Premium,2024-10-25
C0056,Jackson Prasad,Mangalore,Premium,2026-03-31
C0057,Tamanna Rai,Jodhpur,Premium,2025-05-05
C0058,Udyati Shere,Panihati,Regular,2025-05-09
C0059,Lekha Nath,Patna,Premium,2025-06-30
C0060,Watika Tara,Haridwar,Regular,2025-04-07
C0061,Udyati Krishna,Durgapur,Premium,2026-03-10
C0062,Darika Johal,Ghaziabad,Premium,2024-11-13
C0063,Hemal Bhatnagar,Jehanabad,Premium,2026-06-02
C0064,Shivani Gola,Jamnagar,Premium,2025-07-16
C0065,Faris Balay,Aurangabad,Regular,2024-12-11
C0066,Praneel Oommen,Thrissur,Regular,2024-12-22
C0067,Sanaya Kala,Ambala,Premium,2024-09-15
C0068,Upkaar Shenoy,Unknown,Premium,2026-01-08
C0069,Jasmit Raja,Jhansi,Regular,2026-04-28
C0070,Xalak Bhargava,Aurangabad,Regular,2024-11-03
C0071,Chanakya Khanna,Kottayam,Regular,2024-11-11
C0072,Noah Sarna,New Delhi,Regular,2025-08-01
C0073,Samesh Loke,Nizamabad,Premium,2024-11-25
C0074,Nitara Saran,Bhavnagar,Regular,2025-03-26
C0075,Yash Dar,Nagpur,Regular,2025-05-04
C0076,Zayyan Devi,Rohtak,Premium,2026-01-31
C0077,Kamya Narang,Hazaribagh,Premium,2025-05-31
C0078,Nachiket Dara,Indore,Premium,2025-09-21
C0079,Devansh Sandal,Berhampur,Regular,2025-09-09
C0080,Krisha Aurora,Navi Mumbai,Regular,2025-01-16
C0081,Aarnav Dayal,Jodhpur,Premium,2026-03-26
C0082,Yashasvi Krish,North Dumdum,Premium,2025-03-17
C0083,Brijesh Arora,Asansol,Regular,2024-10-30
C0084,Upma Tak,Mathura,Regular,2025-06-18
C0085,Lajita Krishna,Anantapuram,Regular,2025-06-29
C0086,Varenya Garg,Berhampur,Premium,2025-03-28
C0087,Amara Dewan,Korba,Regular,2024-12-29
C0088,Chaitaly Garg,Raipur,Premium,2026-03-15
C0089,Chaitanya Wagle,Nangloi Jat,Regular,2025-08-25
C0090,Agastya Wagle,Karnal,Premium,2026-06-04
C0091,Jagdish Acharya,Amritsar,Premium,2025-08-05
C0092,Sai Dar,Ludhiana,Premium,2026-07-19
C0093,Udyati Sheth,Meerut,Regular,2025-02-03
C0094,Avni Padmanabhan,Sangli-Miraj & Kupwad,Regular,2025-08-09
C0095,Abha Badal,Jalna,Premium,2026-07-08
C0096,Varsha Nazareth,Kanpur,Regular,2026-09-04
C0097,Harshil Khare,Buxar,Regular,2026-06-05
C0098,Isaiah Varty,Kollam,Premium,2025-01-02
C0099,Bina Doshi,Miryalaguda,Premium,2026-03-16
C0100,Zayyan Acharya,Phagwara,Regular,2025-10-30
C0101,Dalaja Batra,Hindupur,Premium,2025-06-21
C0102,Ria Tailor,Noida,Premium,2026-04-10
C0103,Nitara Nagar,Tumkur,Regular,2024-10-08
C0104,Max Shah,Hospet,Premium,2024-11-26
C0105,Aarav Radhakrishnan,Patna,Regular,2024-12-11
C0106,Harish Khatri,Chandigarh,Regular,2026-03-03
C0107,Krishna Dara,Gangtok,Regular,2026-02-15
C0108,Eshana Oza,Bangalore,Regular,2026-08-04
C0109,Upkaar Wali,Bihar Sharif,Premium,2026-01-28
C0110,Eesha Baria,Phusro,Premium,2025-02-11
C0111,Siya Lanka,Vijayawada,Premium,2026-04-16
C0112,Indira Dutt,Rajkot,Premium,2025-06-09
C0113,Bahadurjit Sheth,Narasaraopet,Premium,2025-07-08
C0114,Gaurav Pall,Gurgaon,Regular,2026-02-25
C0115,Anmol Kurian,Chandigarh,Premium,2025-10-02
C0116,Fariq Mutti,Nagercoil,Regular,2025-11-25
C0117,Faris Dora,Bahraich,Premium,2025-06-08
C0118,Aayush Prabhu,Uluberia,Regular,2025-05-26
C0119,Oeshi Bhattacharyya,Akola,Premium,2025-11-13
C0120,Naveen Taneja,Meerut,Regular,2026-04-09
C0121,Jonathan Aggarwal,Thanjavur,Premium,2024-10-12
C0122,Nicholas Borra,Etawah,Regular,2026-08-14
C0123,Upkaar Memon,Anand,Regular,2026-08-01
C0124,Hritik Ganesan,Chapra,Regular,2024-12-20
C0125,Ekta Kothari,Nangloi Jat,Regular,2026-05-06
C0126,Udarsh Mitra,Nashik,Premium,2026-02-12
C0127,Orinder Panchal,Shimoga,Premium,2026-04-21
C0128,Anay Raj,Asansol,Premium,2025-05-20
C0129,Kamya Kapoor,Gudivada,Premium,2025-04-30
C0130,Samaksh Raju,Mangalore,Regular,2024-12-07
C0131,Laban Venkatesh,Gopalpur,Premium,2024-09-11
C0132,Tanmayi Kibe,Durgapur,Regular,2026-08-21
C0133,Sudiksha Nagarajan,Ghaziabad,Premium,2025-03-26
C0134,Aayush Bahri,Jalandhar,Premium,2026-04-14
C0135,Maanav Ratta,Jalna,Regular,2025-10-10
C0136,Anamika Gupta,Kolhapur,Premium,2025-03-01
C0137,Unni Bhakta,Munger,Premium,2025-10-21
C0138,Saumya Chaudhary,Panvel,Regular,2026-05-27
C0139,Ekbal Virk,Kalyan-Dombivli,Premium,2025-06-07
C0140,Veda Pillay,Aizawl,Regular,2025-03-19
C0141,Jagat Mitra,Tiruvottiyur,Regular,2024-11-06
C0142,Sathvik Bava,Ajmer,Regular,2024-09-27
C0143,Darpan Date,Hyderabad,Regular,2025-04-04
C0144,Upma Saha,Thane,Regular,2026-05-26
C0145,Sai Varkey,Phusro,Regular,2025-10-07
C0146,Ojasvi Parikh,Howrah,Premium,2025-01-02
C0147,Ekani Merchant,Bhopal,Premium,2025-05-10
C0148,Suhani Chhabra,Mahbubnagar,Regular,2026-06-27
C0149,Arya Banik,Jalna,Premium,2026-06-02
C0150,Kritika Tata,Serampore,Regular,2026-03-04
C0151,Hiral Bansal,Siwan,Regular,2025-09-27
C0152,Nicholas Doctor,Bhiwandi,Premium,2025-03-09
C0153,Ayaan Ratta,Tiruchirappalli,Premium,2025-07-30
C0154,Michael Mistry,Panvel,Regular,2025-01-29
C0155,Chameli Lanka,Jodhpur,Premium,2024-10-15
C0156,Robert Sagar,Kulti,Premium,2025-03-18
C0157,Harini Sanghvi,Arrah,Regular,2026-01-10
C0158,Avi Guha,Bhusawal,Premium,2026-07-30
C0159,Yashvi Kadakia,Kirari Suleman Nagar,Premium,2026-01-10
C0160,Unnati Tella,Chandrapur,Regular,2025-06-03
C0161,Krishna Goel,Sangli-Miraj & Kupwad,Premium,2026-05-05
C0162,Yasti Sethi,Tezpur,Regular,2025-03-01
C0163,Advay Agrawal,Dhule,Premium,2026-01-31
C0164,Wyatt Soman,Kamarhati,Regular,2026-03-02
C0165,Nirja Murty,Bidhannagar,Regular,2025-11-15
C0166,Qadim Swaminathan,Dehri,Regular,2025-08-06
C0167,Kala Dave,Loni,Regular,2025-12-18
C0168,Advaith Chandran,Vijayanagaram,Regular,2025-07-04
C0169,Arjun Ratta,Vadodara,Premium,2026-03-18
C0170,Urvashi Chana,Kirari Suleman Nagar,Regular,2025-02-27
C0171,Anay Kapoor,Nashik,Premium,2025-02-06
C0172,Aarnav Rau,Chinsurah,Premium,2026-02-19
C0173,Yasti Anne,Barasat,Regular,2025-10-14
C0174,Peter Nayar,Patiala,Regular,2026-03-07
C0175,Ekavir Barman,Faridabad,Premium,2025-02-03
C0176,Krisha Basak,Panvel,Regular,2025-12-29
C0177,Manya Samra,Satara,Regular,2025-04-16
C0178,Raghav Reddy,Asansol,Premium,2026-02-10
C0179,Qushi Gola,Kadapa,Premium,2024-11-01
C0180,Alka Nadkarni,Rajpur Sonarpur,Premium,2025-03-09
C0181,Ijaya Cheema,Proddatur,Regular,2026-04-21
C0182,Urvi Luthra,Jaipur,Premium,2025-02-15
C0183,Matthew Pal,Yamunanagar,Premium,2026-04-24
