customer_id,total_transactions,total_spent,avg_transaction_amount,customer_name,city,customer_type,FAILED,PENDING,SUCCESS,success_rate
C0001,17,443676.89,26098.640588235296,Jalsa Datta,Jabalpur,Premium,2,1,14,0.824
C0002,23,669419.83,29105.21,Bahadurjit Bansal,Aurangabad,Premium,3,2,18,0.783
C0003,30,729137.22,24304.574,Frederick Peri,Jhansi,Premium,1,1,28,0.933
C0004,26,589014.34,22654.39769230769,Upkaar Sagar,Bangalore,Regular,4,1,21,0.808
C0005,25,595171.07,23806.8428,Mohammed Majumdar,South Dumdum,Regular,2,1,22,0.88
C0006,24,632151.44,26339.64333333333,Udarsh Pillai,Bhagalpur,Premium,3,3,18,0.75
C0007,21,619613.52,29505.405714285716,Ekta Bains,Nagercoil,Regular,2,0,19,0.905
C0008,15,378548.4,25236.56,Ekaja Shroff,Anantapur,Premium,1,0,14,0.933
C0010,20,519906.36,25995.318,Vidhi Sarna,Jalandhar,Regular,3,0,17,0.85
C0011,22,568213.34,25827.87909090909,Kamya Devan,Patiala,Premium,3,2,17,0.773
C0012,22,608868.83,27675.855909090908,Siddharth Sehgal,Ranchi,Premium,4,0,18,0.818
C0013,24,535477.67,22311.569583333334,Akshay Parikh,Indore,Regular,0,3,21,0.875
C0014,20,473975.82,23698.791,Anika Deshmukh,Vijayawada,Premium,3,2,15,0.75
C0015,27,732631.37,27134.495185185184,Urvashi Dasgupta,Panihati,Premium,0,4,23,0.852
C0016,23,455678.15,19812.09347826087,Ubika Sood,Indore,Regular,1,3,19,0.826
C0017,24,714647.35,29776.972916666666,Harsh Walia,Farrukhabad,Regular,1,2,21,0.875
C0018,20,435007.77,21750.3885,Sarthak Bera,Mehsana,Regular,2,0,18,0.9
C0019,19,559413.06,29442.792631578952,Mekhala Ratta,Secunderabad,Premium,1,1,17,0.895
C0020,18,514291.0,28571.722222222223,Hema Ramanathan,Nagaon,Regular,2,0,16,0.889
C0021,13,353301.93,27177.07153846154,Daksh Hans,Sasaram,Regular,2,0,11,0.846
C0022,24,596374.07,24848.919583333332,Zaid Sankaran,Hapur,Regular,1,2,21,0.875
C0023,20,646250.64,32312.532,Abeer Chadha,Orai,Premium,1,0,19,0.95
C0024,20,427146.59,21357.3295,Qarin Oak,Coimbatore,Regular,2,2,16,0.8
C0025,23,582978.05,25346.871739130438,Samuel Divan,Bihar Sharif,Regular,0,0,23,1.0
C0026,25,648291.06,25931.6424,Damyanti Deep,Danapur,Premium,2,2,21,0.84
C0027,15,375465.37,25031.024666666668,Harita Grewal,Berhampore,Regular,0,0,15,1.0
C0028,12,331660.65,27638.3875,Lakshmi Lata,Vijayawada,Premium,0,2,10,0.833
C0029,20,379440.98,18972.049,Mohammed Balasubramanian,Khora ,Regular,1,1,18,0.9
C0030,19,470710.04,24774.212631578946,Gavin Wali,Malda,Regular,2,1,16,0.842
C0031,25,545746.49,21829.8596,Aarnav Keer,Kumbakonam,Premium,3,1,21,0.84
C0032,22,521240.46,23692.748181818184,Dipta Dugar,Solapur,Premium,1,0,21,0.955
C0033,20,488016.81,24400.8405,Harish Balan,Gulbarga,Regular,2,0,18,0.9
C0034,23,592949.8,25780.426086956522,Harita Kakar,Nagaon,Regular,3,0,20,0.87
C0035,17,549877.84,32345.755294117644,Madhav Issac,Firozabad,Premium,2,2,13,0.765
C0036,19,473148.4,24902.547368421056,Gauri Rege,Bardhaman,Regular,1,1,17,0.895
C0037,23,459678.33,19986.014347826087,Widisha Peri,Etawah,Premium,3,2,18,0.783
C0038,24,490570.9,20440.454166666666,Libni Saha,Vijayawada,Regular,3,0,21,0.875
C0039,15,372030.96,24802.064000000002,Bhavya Dhawan,Varanasi,Premium,0,0,15,1.0
C0040,25,590281.89,23611.2756,Balendra Majumdar,Bharatpur,Premium,3,1,21,0.84
C0041,20,431938.75,21596.9375,Orinder Singh,Allahabad,Regular,3,1,16,0.8
C0042,19,494834.7,26043.93157894737,Ishaan Sampath,Nagaon,Premium,1,0,18,0.947
C0043,16,382161.15,23885.071875,Elijah Viswanathan,Dibrugarh,Regular,2,1,13,0.812
C0044,20,473598.85,23679.942499999997,Pavani Handa,Fatehpur,Premium,3,0,17,0.85
C0045,25,578392.28,23135.6912,Nikita Loke,Satna,Regular,2,0,23,0.92
C0046,11,247022.56,22456.596363636363,Charles Borah,Kanpur,Regular,0,0,11,1.0
C0047,25,658667.87,26346.7148,Meera Upadhyay,Silchar,Premium,2,0,23,0.92
C0048,15,332960.83,22197.38866666667,Nidhi Dalal,Unknown,Premium,1,0,14,0.933
C0049,11,280831.70999999996,25530.155454545453,Faraj Chakrabarti,Panipat,Premium,0,0,11,1.0
C0050,18,449220.05,24956.669444444444,Vasana Kashyap,Singrauli,Premium,0,0,18,1.0
C0051,20,429589.74,21479.487,Frederick Issac,Siliguri,Premium,2,1,17,0.85
C0052,20,478317.72,23915.886,Gautam Balay,Arrah,Premium,4,0,16,0.8
C0053,22,571834.64,25992.48363636364,Varsha Bakshi,Bahraich,Premium,1,1,20,0.909
C0054,15,414624.42,27641.628,Xalak Gala,Alappuzha,Regular,0,0,15,1.0
C0055,16,362119.1,22632.44375,Rishi Gokhale,Nashik,Premium,3,0,13,0.812
C0056,19,390667.8,20561.463157894737,Jackson Prasad,Mangalore,Premium,3,0,16,0.842
C0057,16,354429.33,22151.833125,Tamanna Rai,Jodhpur,Premium,1,0,15,0.938
C0058,11,288249.21,26204.473636363637,Udyati Shere,Panihati,Regular,2,2,7,0.636
C0059,14,370665.1,26476.07857142857,Lekha Nath,Patna,Premium,1,0,13,0.929
C0060,14,404713.26,28908.09,Watika Tara,Haridwar,Regular,0,0,14,1.0
C0061,18,419362.23,23297.901666666665,Udyati Krishna,Durgapur,Premium,3,0,15,0.833
C0062,13,390838.4,30064.492307692308,Darika Johal,Ghaziabad,Premium,2,0,11,0.846
C0063,21,458848.49,21849.928095238094,Hemal Bhatnagar,Jehanabad,Premium,2,1,18,0.857
C0064,17,431680.86,25392.991764705883,Shivani Gola,Jamnagar,Premium,3,1,13,0.765
C0065,17,437542.59,25737.799411764707,Faris Balay,Aurangabad,Regular,3,1,13,0.765
C0066,16,475307.63,29706.726875,Praneel Oommen,Thrissur,Regular,2,0,14,0.875
C0067,21,598332.75,28492.035714285714,Sanaya Kala,Ambala,Premium,1,2,18,0.857
C0068,25,717940.27,28717.610800000002,Upkaar Shenoy,Unknown,Premium,2,1,22,0.88
C0069,20,504675.35,25233.767499999998,Jasmit Raja,Jhansi,Regular,3,1,16,0.8
C0070,19,473211.79,24905.883684210527,Xalak Bhargava,Aurangabad,Regular,1,1,17,0.895
C0071,18,537968.82,29887.156666666662,Chanakya Khanna,Kottayam,Regular,1,0,17,0.944
C0072,16,317675.77,19854.735625,Noah Sarna,New Delhi,Regular,1,1,14,0.875
C0073,19,525630.51,27664.763684210528,Samesh Loke,Nizamabad,Premium,2,1,16,0.842
C0074,24,638723.4,26613.475000000002,Nitara Saran,Bhavnagar,Regular,1,0,23,0.958
C0075,24,542879.37,22619.97375,Yash Dar,Nagpur,Regular,1,3,20,0.833
C0076,24,614300.0599999999,25595.83583333333,Zayyan Devi,Rohtak,Premium,2,1,21,0.875
C0077,18,486068.89,27003.827222222222,Kamya Narang,Hazaribagh,Premium,2,1,15,0.833
C0078,22,551970.21,25089.554999999997,Nachiket Dara,Indore,Premium,0,3,19,0.864
C0079,17,473370.96,27845.350588235295,Devansh Sandal,Berhampur,Regular,2,1,14,0.824
C0080,20,468239.92,23411.996,Krisha Aurora,Navi Mumbai,Regular,3,1,16,0.8
C0081,16,429640.99,26852.561875,Aarnav Dayal,Jodhpur,Premium,3,2,11,0.688
C0082,20,444945.3,22247.265,Yashasvi Krish,North Dumdum,Premium,2,1,17,0.85
C0083,22,540832.26,24583.284545454546,Brijesh Arora,Asansol,Regular,7,1,14,0.636
C0084,18,431576.62,23976.478888888887,Upma Tak,Mathura,Regular,2,0,16,0.889
C0085,14,419747.45,29981.960714285717,Lajita Krishna,Anantapuram,Regular,2,2,10,0.714
C0086,24,615233.26,25634.719166666666,Varenya Garg,Berhampur,Premium,1,3,20,0.833
C0087,23,646529.12,28109.961739130435,Amara Dewan,Korba,Regular,3,1,19,0.826
C0088,11,276855.32,25168.665454545455,Chaitaly Garg,Raipur,Premium,0,1,10,0.909
C0089,20,524926.9,26246.345,Chaitanya Wagle,Nangloi Jat,Regular,5,0,15,0.75
C0090,25,695796.93,27831.877200000003,Agastya Wagle,Karnal,Premium,2,1,22,0.88
C0091,26,632862.51,24340.865769230768,Jagdish Acharya,Amritsar,Premium,4,2,20,0.769
C0092,20,529241.9299999999,26462.096499999996,Sai Dar,Ludhiana,Premium,4,1,15,0.75
C0093,23,576561.83,25067.90565217391,Udyati Sheth,Meerut,Regular,1,1,21,0.913
C0094,32,700673.7,21896.053125,Avni Padmanabhan,Sangli-Miraj & Kupwad,Regular,3,2,27,0.844
C0095,22,604100.03,27459.092272727274,Abha Badal,Jalna,Premium,3,2,17,0.773
C0096,14,319386.97,22813.355,Varsha Nazareth,Kanpur,Regular,2,2,10,0.714
C0097,20,490955.99,24547.7995,Harshil Khare,Buxar,Regular,2,0,18,0.9
C0098,23,478973.94,20824.95391304348,Isaiah Varty,Kollam,Premium,1,2,20,0.87
C0099,22,500608.52,22754.932727272728,Bina Doshi,Miryalaguda,Premium,1,1,20,0.909
C0100,21,592183.96,28199.23619047619,Zayyan Acharya,Phagwara,Regular,4,1,16,0.762
C0101,20,552633.54,27631.677000000003,Dalaja Batra,Hindupur,Premium,1,0,19,0.95
C0102,16,479750.32,29984.395,Ria Tailor,Noida,Premium,3,1,12,0.75
C0103,18,364364.65,20242.480555555558,Nitara Nagar,Tumkur,Regular,1,2,15,0.833
C0104,9,213161.2,23684.57777777778,Max Shah,Hospet,Premium,0,1,8,0.889
C0105,26,706571.01,27175.808076923076,Aarav Radhakrishnan,Patna,Regular,3,0,23,0.885
C0106,15,366394.23,24426.282,Harish Khatri,Chandigarh,Regular,2,0,13,0.867
C0107,19,453176.57,23851.398421052632,Krishna Dara,Gangtok,Regular,1,2,16,0.842
C0108,17,402767.53,23692.207647058825,Eshana Oza,Bangalore,Regular,0,1,16,0.941
C0109,18,432078.01,24004.33388888889,Upkaar Wali,Bihar Sharif,Premium,2,1,15,0.833
C0110,25,701430.42,28057.216800000002,Eesha Baria,Phusro,Premium,2,2,21,0.84
C0111,18,558035.58,31001.976666666666,Siya Lanka,Vijayawada,Premium,1,1,16,0.889
C0112,14,321001.67,22928.690714285713,Indira Dutt,Rajkot,Premium,1,0,13,0.929
C0113,17,360248.6,21191.09411764706,Bahadurjit Sheth,Narasaraopet,Premium,1,1,15,0.882
C0114,15,421564.41000000003,28104.294,Gaurav Pall,Gurgaon,Regular,2,1,12,0.8
